fiscal_year,fiscal_quarter,quarter_end_date,revenue_usd_millions
FY2011,Q4,2011-08-31,28178
FY2012,Q1,2011-11-30,21628
FY2012,Q2,2012-02-29,22967
FY2012,Q3,2012-05-31,22324
FY2012,Q4,2012-08-31,32218
FY2013,Q1,2012-11-30,23715
FY2013,Q2,2013-02-28,24871
FY2013,Q3,2013-05-31,24083
FY2013,Q4,2013-08-31,32487
FY2014,Q1,2013-11-30,25017
FY2014,Q2,2014-02-28,26306
FY2014,Q3,2014-05-31,25794
FY2014,Q4,2014-08-31,35523
FY2015,Q1,2014-11-30,26866
FY2015,Q2,2015-02-28,27454
FY2015,Q3,2015-05-31,26101
FY2015,Q4,2015-08-31,35778
FY2016,Q1,2015-11-30,27220
FY2016,Q2,2016-02-29,28170
FY2016,Q3,2016-05-31,26769
FY2016,Q4,2016-08-31,36560
FY2017,Q1,2016-11-30,28099
FY2017,Q2,2017-02-28,29766
FY2017,Q3,2017-05-31,28860
FY2017,Q4,2017-08-31,42300
FY2018,Q1,2017-11-30,31809
FY2018,Q2,2018-02-28,32995
FY2018,Q3,2018-05-31,32361
FY2018,Q4,2018-08-31,44411
FY2019,Q1,2018-11-30,35069
FY2019,Q2,2019-02-28,35396
FY2019,Q3,2019-05-31,34740
FY2019,Q4,2019-08-31,47498
FY2020,Q1,2019-11-30,37040
FY2020,Q2,2020-02-29,39072
FY2020,Q3,2020-05-31,37266
FY2020,Q4,2020-08-31,53383
FY2021,Q1,2020-11-30,43208
FY2021,Q2,2021-02-28,44769
FY2021,Q3,2021-05-31,45277
FY2021,Q4,2021-08-31,62675
FY2022,Q1,2021-11-30,50363
FY2022,Q2,2022-02-28,51904
FY2022,Q3,2022-05-31,52596
FY2022,Q4,2022-08-31,72091
FY2023,Q1,2022-11-30,54437
FY2023,Q2,2023-02-28,55266
FY2023,Q3,2023-05-31,53648
FY2023,Q4,2023-08-31,78939
FY2024,Q1,2023-11-30,57799
FY2024,Q2,2024-02-29,58442
FY2024,Q3,2024-05-31,58515
FY2024,Q4,2024-08-31,79697
FY2025,Q1,2024-11-30,62151
FY2025,Q2,2025-02-28,63723
FY2025,Q3,2025-05-31,63205
FY2025,Q4,2025-08-31,86156
